has,prefers,count
Austria,Burkina Faso,0
Austria,Canada,0
Austria,Canada,0
Austria,Chile,0
Austria,Croatia,40
Austria,Czechia,129900
Austria,Czechia,2073
Austria,France,1345
Austria,France,6254
Austria,Germany,161889
Austria,Germany,128351
Austria,Greece,826
Austria,Hungary,131292
Austria,Hungary,8726
Austria,Ireland,0
Austria,Italy,4759
Austria,Italy,377746
Austria,Lithuania,9
Austria,Luxembourg,0
Austria,Netherlands,4997
Austria,Netherlands,6932
Austria,Poland,374
Austria,Poland,6982
Austria,Romania,6424
Austria,Romania,8410
Austria,Russian Federation,46
Austria,Serbia,175
Austria,Serbia,4519
Austria,Slovakia,121634
Austria,Slovakia,1704
Austria,Slovenia,1085
Austria,Slovenia,22085
Austria,Spain,3
Austria,Switzerland,103
Austria,Switzerland,39357
Austria,The former Yugoslav Republic of Macedonia,2401
Austria,Turkey,1
Austria,Turkey,41
Austria,Uganda,0
Austria,Ukraine,72
Austria,Ukraine,261
Austria,United States of America,0
Azerbaijan,Germany,28
Azerbaijan,Iran (Islamic Republic of),11283
Azerbaijan,Kazakhstan,675278
Azerbaijan,Russian Federation,359075
Azerbaijan,Turkey,84
Azerbaijan,Uzbekistan,120823
Bahrain,Argentina,40198
Bahrain,Australia,32261
Bahrain,Belgium,0
Bahrain,Canada,10999
Bahrain,France,1
Bahrain,Germany,0
Bahrain,India,18
Bahrain,Italy,0
Bahrain,Paraguay,4000
Bahrain,Qatar,14
Bahrain,Russian Federation,9054
Bahrain,Saudi Arabia,2
Bahrain,Saudi Arabia,2201
Bahrain,Syrian Arab Republic,1
Bahrain,United Arab Emirates,56
Bahrain,United States of America,0
Barbados,United States of America,21480
Barbados,United States of America,21
Belarus,France,10
Belarus,Germany,5
Belarus,Italy,0
Belarus,Kazakhstan,4999
Belarus,Poland,18
Belarus,Russian Federation,11827
Belarus,Russian Federation,377
Belarus,Ukraine,1083
Belgium,Austria,141
Belgium,Austria,2377
Belgium,Bahrain,0
Belgium,Benin,0
Belgium,Bulgaria,47
Belgium,Cabo Verde,0
Belgium,Canada,151341
Belgium,"China, Taiwan Province of",105
Belgium,Cyprus,6
Belgium,Czechia,272
Belgium,Democratic Republic of the Congo,0
Belgium,Denmark,2222
Belgium,Denmark,35
Belgium,Finland,104
Belgium,France,1749887
Belgium,France,92148
Belgium,Germany,887474
Belgium,Germany,156758
Belgium,Greece,4872
Belgium,Greece,5396
Belgium,Iceland,140
Belgium,India,0
Belgium,Ireland,5
Belgium,Israel,0
Belgium,Italy,6250
Belgium,Italy,13719
Belgium,Japan,509
Belgium,Kazakhstan,4891
Belgium,Lebanon,1
Belgium,Lithuania,0
Belgium,Luxembourg,6514
Belgium,Luxembourg,776
Belgium,Netherlands,360847
Belgium,Netherlands,250599
Belgium,Norway,6405
Belgium,Poland,6604
Belgium,Poland,1
Belgium,Portugal,4
Belgium,Portugal,17
Belgium,Romania,3
Belgium,Romania,6
Belgium,Russian Federation,4639
Belgium,Seychelles,0
Belgium,Slovenia,5
Belgium,Spain,35215
Belgium,Spain,3530
Belgium,Sweden,2472
Belgium,Sweden,7571
Belgium,Switzerland,941
Belgium,Thailand,0
Belgium,Turkey,49
Belgium,Ukraine,47
Belgium,United Arab Emirates,49
Belgium,United Kingdom,64570
Belgium,United Kingdom,36384
Belgium,United States of America,89168
Belize,Guatemala,200
Belize,United States of America,13748
Bolivia (Plurinational State of),Argentina,80008
Bolivia (Plurinational State of),Brazil,2
Bolivia (Plurinational State of),Netherlands,0
Bolivia (Plurinational State of),United States of America,268
Bosnia and Herzegovina,Austria,28
Bosnia and Herzegovina,Bulgaria,25
Bosnia and Herzegovina,"China, mainland",0
Bosnia and Herzegovina,Croatia,84129
Bosnia and Herzegovina,France,360
Bosnia and Herzegovina,Germany,0
Bosnia and Herzegovina,Hungary,185998
Bosnia and Herzegovina,Montenegro,854
Bosnia and Herzegovina,Netherlands,0
Bosnia and Herzegovina,Serbia,73520
Bosnia and Herzegovina,Serbia,27
Bosnia and Herzegovina,Slovenia,113
Bosnia and Herzegovina,Switzerland,0
Bosnia and Herzegovina,Syrian Arab Republic,0
Bosnia and Herzegovina,Turkey,933
Botswana,Malawi,0
Botswana,Namibia,260
Botswana,South Africa,56254
Botswana,South Africa,145
Botswana,Zimbabwe,31
Brazil,Algeria,705548
Brazil,Angola,18
Brazil,Argentina,4546380
Brazil,Argentina,0
Brazil,Bangladesh,135332
Brazil,Belgium,1
Brazil,Bolivia (Plurinational State of),18
Brazil,Cabo Verde,0
Brazil,Canada,39488
Brazil,Canada,100
Brazil,Chile,4
Brazil,"China, mainland",18000
Brazil,Congo,8100
Brazil,Egypt,185952
Brazil,Ethiopia,16005
Brazil,France,50
Brazil,Germany,1
Brazil,Germany,1
Brazil,Indonesia,22500
Brazil,Israel,27500
Brazil,Italy,1
Brazil,Kenya,158952
Brazil,Lebanon,25
Brazil,Libya,112428
Brazil,Mali,8800
Brazil,Morocco,85801
Brazil,Mozambique,41780
Brazil,Nigeria,35020
Brazil,Oman,19350
Brazil,Paraguay,363816
Brazil,Paraguay,166
Brazil,Portugal,8
Brazil,Republic of Korea,300
Brazil,Saudi Arabia,89160
Brazil,South Africa,90851
Brazil,Sri Lanka,21300
Brazil,Sudan (former),33991
Brazil,Suriname,0
Brazil,Syrian Arab Republic,26500
Brazil,Tunisia,178699
Brazil,Turkey,154047
Brazil,United Arab Emirates,61490
Brazil,United Kingdom,1
Brazil,United Republic of Tanzania,2000
Brazil,United States of America,104248
Brazil,United States of America,2
Brazil,Uruguay,686494
Brazil,Uruguay,28
Brazil,Yemen,110920
Bulgaria,Albania,101
Bulgaria,Algeria,4113
Bulgaria,Austria,3456
Bulgaria,Belgium,6
Bulgaria,Belgium,34
Bulgaria,Bosnia and Herzegovina,25
Bulgaria,Cyprus,647
Bulgaria,Cyprus,27069
Bulgaria,Czechia,765
Bulgaria,Czechia,816
Bulgaria,Denmark,21
Bulgaria,Djibouti,5014
Bulgaria,Ethiopia,36457
Bulgaria,Finland,62
Bulgaria,France,290
Bulgaria,France,6381
Bulgaria,Germany,33
Bulgaria,Germany,3658
Bulgaria,Greece,703
Bulgaria,Greece,304552
Bulgaria,Hungary,2269
Bulgaria,Hungary,23
Bulgaria,Israel,17494
Bulgaria,Italy,55
Bulgaria,Italy,413603
Bulgaria,Kazakhstan,3001
Bulgaria,Malta,3291
Bulgaria,Netherlands,0
Bulgaria,Netherlands,667
Bulgaria,Poland,0
Bulgaria,Portugal,62288
Bulgaria,Republic of Korea,3077
Bulgaria,Republic of Moldova,21
Bulgaria,Romania,12027
Bulgaria,Romania,279043
Bulgaria,Serbia,431
Bulgaria,Serbia,2805
Bulgaria,Slovakia,46
Bulgaria,Slovakia,2493
Bulgaria,Slovenia,479
Bulgaria,Slovenia,78
Bulgaria,Spain,879769
Bulgaria,Sweden,170
Bulgaria,The former Yugoslav Republic of Macedonia,28616
Bulgaria,Tunisia,7150
Bulgaria,Turkey,48315
Bulgaria,Ukraine,2975
Burkina Faso,Argentina,6747
Burkina Faso,Canada,3662
Burkina Faso,Côte d'Ivoire,2
Burkina Faso,France,45902
Burkina Faso,Mali,9
Burkina Faso,Paraguay,2050
Burkina Faso,Togo,1
Cabo Verde,Argentina,4500
Cabo Verde,Brazil,1
Cabo Verde,France,17669
Cabo Verde,Spain,0
Cabo Verde,Unspecified Area,0
Cambodia,Australia,12885
Cambodia,Belgium,15
Cambodia,"China, Taiwan Province of",1294
Cambodia,France,120
Cambodia,Viet Nam,1430
Cameroon,Argentina,30760
Cameroon,Canada,58125
Cameroon,Côte d'Ivoire,0
Cameroon,France,313128
Cameroon,Lebanon,1
Cameroon,United States of America,14911
Canada,Algeria,162771
Canada,Argentina,1
Canada,Argentina,11000
Canada,Australia,0
Canada,Austria,0
Canada,Bahrain,27500
Canada,Bangladesh,913706
Canada,Belgium,0
Canada,Belgium,236416
Canada,Brazil,30001
Canada,Cameroon,46626
Canada,Canada,0
Canada,Chile,14
Canada,Chile,154000
Canada,"China, Macao SAR",8
Canada,"China, mainland",12
Canada,"China, mainland",172250
Canada,"China, Taiwan Province of",3650
Canada,Colombia,606464
Canada,Costa Rica,41486
Canada,Côte d'Ivoire,14801
Canada,Cuba,204049
Canada,Dominican Republic,8599
Canada,Ecuador,424229
Canada,Egypt,174230
Canada,Finland,146
Canada,France,0
Canada,France,24
Canada,Germany,29
Canada,Germany,38748
Canada,Ghana,0
Canada,Ghana,321771
Canada,Greece,1
Canada,Guatemala,7700
Canada,Guyana,48265
Canada,Iceland,584
Canada,India,0
Canada,Indonesia,851388
Canada,Iraq,157502
Canada,Israel,810
Canada,Italy,0
Canada,Italy,972224
Canada,Jamaica,18745
Canada,Japan,1341503
Canada,Kazakhstan,0
Canada,Kenya,0
Canada,Kenya,48300
Canada,Lebanon,6
Canada,Malaysia,65166
Canada,Mexico,0
Canada,Mexico,821601
Canada,Morocco,383826
Canada,Namibia,8500
Canada,Netherlands,1
Canada,Netherlands,34093
Canada,New Zealand,15
Canada,New Zealand,496
Canada,Nigeria,136850
Canada,Norway,204
Canada,Pakistan,22434
Canada,Peru,473938
Canada,Philippines,127686
Canada,Portugal,20896
Canada,Republic of Korea,1354009
Canada,Saudi Arabia,571749
Canada,Senegal,22849
Canada,Singapore,12
Canada,South Africa,197271
Canada,Spain,18582
Canada,Sri Lanka,736202
Canada,Sudan (former),349263
Canada,Sweden,0
Canada,Switzerland,112943
Canada,Syrian Arab Republic,0
Canada,Thailand,337750
Canada,Togo,23501
Canada,Trinidad and Tobago,21
Canada,Tunisia,99850
Canada,Turkey,48108
Canada,Uganda,2227
Canada,United Arab Emirates,228291
Canada,United Kingdom,0
Canada,United Kingdom,311977
Canada,United Republic of Tanzania,31846
Canada,United States of America,64279
Canada,United States of America,1924848
Canada,Venezuela (Bolivarian Republic of),815603
Canada,Viet Nam,12908
Chile,Argentina,75193
Chile,Canada,163792
Chile,Canada,5
Chile,Denmark,1
Chile,France,1
Chile,Israel,0
Chile,Mexico,0
Chile,Peru,3
Chile,Peru,102
Chile,Sweden,2
Chile,United Kingdom,0
Chile,United States of America,416539
Chile,United States of America,0
"China, Hong Kong SAR",Australia,538
"China, Hong Kong SAR","China, Taiwan Province of",11
"China, Hong Kong SAR",Pakistan,47
"China, Hong Kong SAR",United States of America,2182
"China, Macao SAR",Australia,1
"China, Macao SAR",Canada,2
"China, Macao SAR","China, mainland",1
"China, Macao SAR",United States of America,0
"China, mainland",Australia,637075
"China, mainland",Canada,172250
"China, mainland",Ethiopia,24533
"China, mainland",Germany,0
"China, mainland",Italy,0
"China, mainland",Kazakhstan,4620
"China, mainland",Kenya,5534
"China, mainland",Mexico,0
"China, mainland",Pakistan,5
"China, mainland",United States of America,434878
"China, mainland",Zimbabwe,9723
"China, Taiwan Province of",Australia,291360
"China, Taiwan Province of",Australia,0
"China, Taiwan Province of",Belgium,121
"China, Taiwan Province of",Canada,3065
"China, Taiwan Province of","China, Hong Kong SAR",10
"China, Taiwan Province of",France,625
"China, Taiwan Province of",French Polynesia,0
"China, Taiwan Province of",Germany,0
"China, Taiwan Province of",India,15757
"China, Taiwan Province of",Pakistan,8285
"China, Taiwan Province of",Philippines,3
"China, Taiwan Province of",Republic of Moldova,967
"China, Taiwan Province of",Russian Federation,2064
"China, Taiwan Province of",Ukraine,14405
"China, Taiwan Province of",United States of America,1024035
"China, Taiwan Province of",United States of America,1
"China, Taiwan Province of",Viet Nam,0
Colombia,Argentina,196000
Colombia,Canada,576605
Colombia,Lebanon,11
Colombia,Panama,0
Colombia,Paraguay,60435
Colombia,United Kingdom,1700
Colombia,United States of America,700337
Costa Rica,Canada,41486
Costa Rica,El Salvador,1
Costa Rica,Guatemala,0
Costa Rica,Mexico,8900
Costa Rica,Nicaragua,0
Costa Rica,Panama,0
Costa Rica,Panama,0
Costa Rica,United Kingdom,0
Costa Rica,United States of America,174591
Côte d'Ivoire,Canada,18659
Côte d'Ivoire,France,417893
Côte d'Ivoire,Italy,17428
Côte d'Ivoire,Lebanon,1
Côte d'Ivoire,Unspecified Area,0
Croatia,Albania,4348
Croatia,Austria,40
Croatia,Bosnia and Herzegovina,83648
Croatia,Canada,1
Croatia,"China, mainland",5
Croatia,Czechia,4
Croatia,France,0
Croatia,Germany,21
Croatia,Honduras,12
Croatia,Honduras,2302
Croatia,Hungary,191
Croatia,Hungary,1
Croatia,India,0
Croatia,Israel,0
Croatia,Italy,9329
Croatia,Netherlands,6
Croatia,Romania,70
Croatia,Serbia,476
Croatia,Serbia,169
Croatia,Slovenia,30
Croatia,Slovenia,402
Croatia,The former Yugoslav Republic of Macedonia,8371
Croatia,Turkey,79
Croatia,Ukraine,0
Croatia,United States of America,5
Cyprus,Bulgaria,27069
Cyprus,France,45764
Cyprus,Germany,0
Cyprus,Greece,181
Cyprus,Italy,2
Cyprus,Kazakhstan,10425
Cyprus,Romania,17354
Cyprus,Russian Federation,2998
Cyprus,United Kingdom,0
Cyprus,United Kingdom,36
Cyprus,United States of America,0
Czechia,Austria,345
Czechia,Austria,76865
Czechia,Belarus,0
Czechia,Belgium,190
Czechia,Bulgaria,786
Czechia,Croatia,4
Czechia,Denmark,14
Czechia,Finland,7
Czechia,France,7
Czechia,France,5
Czechia,Germany,3844
Czechia,Germany,941729
Czechia,Hungary,495
Czechia,Hungary,2898
Czechia,Italy,36
Czechia,Italy,23698
Czechia,Lithuania,43
Czechia,Luxembourg,1187
Czechia,Netherlands,14
Czechia,Netherlands,380
Czechia,Poland,3257
Czechia,Poland,244467
Czechia,Portugal,280
Czechia,Romania,145
Czechia,Russian Federation,129
Czechia,Serbia,24
Czechia,Serbia,44
Czechia,Slovakia,19603
Czechia,Slovakia,118043
Czechia,Slovenia,1328
Czechia,Switzerland,2
Czechia,Switzerland,2455
Czechia,Ukraine,186
Czechia,United Kingdom,0
Denmark,Australia,0
Denmark,Austria,52
Denmark,Belgium,22
Denmark,"China, mainland",0
Denmark,Czechia,14
Denmark,Egypt,1
Denmark,Estonia,7840
Denmark,Estonia,17
Denmark,Faroe Islands,0
Denmark,Finland,6299
Denmark,Finland,3434
Denmark,France,19890
Denmark,France,36514
Denmark,Germany,68950
Denmark,Germany,265787
Denmark,Greenland,0
Denmark,Iceland,6857
Denmark,Ireland,27
Denmark,Ireland,32514
Denmark,Italy,6556
Denmark,Italy,43502
Denmark,Kazakhstan,3658
Denmark,Latvia,28608
Denmark,Latvia,624
Denmark,Lithuania,45533
Denmark,Lithuania,279
Denmark,Netherlands,6440
Denmark,Netherlands,180425
Denmark,Norway,0
Denmark,Norway,15416
Denmark,Poland,3634
Denmark,Poland,36058
Denmark,Portugal,12250
Denmark,Russian Federation,1015
Denmark,Spain,150710
Denmark,Sweden,126053
Denmark,Sweden,82856
Denmark,Turkey,1
Denmark,Ukraine,20
Denmark,United Kingdom,29951
Denmark,United Kingdom,19661
Denmark,United States of America,0
Ecuador,Argentina,4761
Ecuador,Canada,432262
Ecuador,Russian Federation,10250
Ecuador,United States of America,101224
Ecuador,Unspecified Area,17027
Egypt,Argentina,374933
Egypt,Australia,947185
Egypt,Australia,0
Egypt,Belarus,4343
Egypt,Brazil,76443
Egypt,Canada,250645
Egypt,France,1023039
Egypt,Germany,4
Egypt,Israel,4
Egypt,Jordan,1332
Egypt,Libya,19
Egypt,Lithuania,15474
Egypt,Morocco,1
Egypt,Qatar,3
Egypt,Republic of Moldova,3294
Egypt,Romania,165635
Egypt,Russian Federation,3777012
Egypt,Saudi Arabia,1144
Egypt,Sudan (former),91
Egypt,Syrian Arab Republic,2
Egypt,Thailand,1
Egypt,Ukraine,390818
Egypt,United Arab Emirates,7
Egypt,United Kingdom,1
Egypt,United States of America,2771233
Egypt,Unspecified Area,63
El Salvador,Guatemala,5
El Salvador,Nicaragua,89
El Salvador,United States of America,243756
Estonia,Denmark,9
Estonia,Denmark,3777
Estonia,Finland,6717
Estonia,Finland,4305
Estonia,Germany,3
Estonia,Germany,36107
Estonia,Italy,0
Estonia,Kazakhstan,70
Estonia,Latvia,1553
Estonia,Latvia,7236
Estonia,Lithuania,1010
Estonia,Lithuania,67
Estonia,Netherlands,2839
Estonia,Poland,24
Estonia,Spain,9478
Estonia,Sweden,1
Estonia,Sweden,6406
Estonia,Turkey,0
Ethiopia,Australia,3044
Ethiopia,Brazil,23755
Ethiopia,Bulgaria,41470
Ethiopia,"China, mainland",25978
Ethiopia,Germany,1764
Ethiopia,India,20
Ethiopia,Italy,74736
Ethiopia,Japan,1056
Ethiopia,Mexico,0
Ethiopia,Pakistan,33005
Ethiopia,Russian Federation,582895
Ethiopia,Somalia,1000
Ethiopia,United Arab Emirates,0
Ethiopia,United States of America,290579
Fiji,Australia,102535
Fiji,New Zealand,363
Finland,Belgium,2
Finland,Canada,40
Finland,Czechia,7
Finland,Denmark,15636
Finland,Estonia,3
Finland,Estonia,8832
Finland,France,3221
Finland,Germany,8
Finland,Germany,57628
Finland,Hungary,0
Finland,Iceland,11
Finland,Italy,47
Finland,Italy,15948
Finland,Kazakhstan,505
Finland,Latvia,126
Finland,Luxembourg,2
Finland,Netherlands,3524
Finland,Netherlands,1
Finland,Norway,8507
Finland,Poland,2428
Finland,Russian Federation,40
Finland,Saudi Arabia,33460
Finland,Spain,48263
Finland,Sweden,92
Finland,Sweden,183
Finland,United Kingdom,0
Finland,United Kingdom,3300
France,Afghanistan,47
France,Albania,93762
France,Algeria,5772195
France,Angola,0
France,Argentina,383
France,Argentina,12
France,Armenia,3
France,Australia,0
France,Austria,1201
France,Austria,1023
France,Belarus,10
France,Belgium,48162
France,Belgium,1535218
France,Benin,24700
France,Bosnia and Herzegovina,3010
France,Brazil,0
France,Bulgaria,3947
France,Bulgaria,42
France,Burkina Faso,43402
France,Cabo Verde,12719
France,Cameroon,311887
France,Canada,1
France,Chile,0
France,Chile,1
France,"China, mainland",3000
France,"China, Taiwan Province of",3
France,"China, Taiwan Province of",521
France,Comoros,0
France,Congo,63200
France,Côte d'Ivoire,414455
France,Croatia,2500
France,Cuba,554042
France,Cyprus,62194
France,Czechia,2
France,Czechia,718
France,Democratic Republic of the Congo,144403
France,Denmark,7660
France,Denmark,10162
France,Egypt,908097
France,Equatorial Guinea,0
France,Estonia,17
France,Finland,3205
France,Gabon,94400
France,Germany,213539
France,Germany,804988
France,Ghana,68845
France,Greece,252050
France,Guinea,35682
France,Hungary,2113
France,Hungary,157
France,Iceland,250
France,India,1
France,Ireland,36002
France,Israel,35228
France,Italy,58023
France,Italy,2091188
France,Japan,3863
France,Kazakhstan,0
France,Latvia,7076
France,Latvia,24
France,Lebanon,23202
France,Libya,178469
France,Lithuania,316
France,Lithuania,11
France,Luxembourg,8482
France,Luxembourg,67352
France,Madagascar,25800
France,Malaysia,0
France,Mali,85671
France,Malta,14757
France,Mauritania,130616
France,Mauritius,72500
France,Mayotte,38
France,Mexico,0
France,Montenegro,7900
France,Morocco,0
France,Morocco,2326294
France,Netherlands,36066
France,Netherlands,1289349
France,New Caledonia,205
France,New Zealand,0
France,Nigeria,75450
France,Norway,5817
France,Poland,13480
France,Poland,15285
France,Portugal,610295
France,Republic of Korea,2
France,Republic of Moldova,1
France,Romania,205
France,Romania,3535
France,Russian Federation,302
France,Saint Pierre and Miquelon,0
France,Saudi Arabia,1
France,Senegal,345849
France,Serbia,0
France,Serbia,14579
France,Slovakia,164
France,Slovenia,78
France,Spain,56739
France,Spain,798530
France,Suriname,5275
France,Sweden,19196
France,Switzerland,16
France,Switzerland,99399
France,Syrian Arab Republic,46130
France,The former Yugoslav Republic of Macedonia,21
France,Togo,48957
France,Tunisia,233743
France,Turkey,52876
France,Ukraine,253
France,Ukraine,1
France,United Kingdom,61741
France,United Kingdom,135049
France,United States of America,0
France,United States of America,193
France,Unspecified Area,0
France,Uruguay,3
France,Vanuatu,0
France,Viet Nam,0
France,Wallis and Futuna Islands,0
France,Yemen,225824
French Polynesia,Australia,184
French Polynesia,Brazil,0
French Polynesia,Canada,0
French Polynesia,"China, Taiwan Province of",0
French Polynesia,France,1
French Polynesia,Italy,0
French Polynesia,United States of America,774
Gambia,Lebanon,1
Gambia,Singapore,1
Gambia,Spain,0
Gambia,United Arab Emirates,0
Gambia,United States of America,1
Georgia,Armenia,0
Georgia,Armenia,19719
Georgia,British Virgin Islands,2942
Georgia,Germany,15
Georgia,Hungary,2890
Georgia,Italy,21
Georgia,Kazakhstan,184693
Georgia,Russian Federation,274513
Georgia,Serbia,4936
Georgia,Slovakia,19
Georgia,Turkey,2176
Georgia,Ukraine,138135
Georgia,Ukraine,0
Georgia,Uzbekistan,13578
Germany,Albania,8051
Germany,Argentina,101
Germany,Austria,103751
Germany,Austria,111496
Germany,Azerbaijan,58
Germany,Bahrain,6
Germany,Bangladesh,45687
Germany,Belarus,0
Germany,Belgium,137153
Germany,Belgium,926583
Germany,Bulgaria,1979
Germany,Bulgaria,7
Germany,Canada,62969
Germany,"China, mainland",0
Germany,Congo,8500
Germany,Croatia,33
Germany,Cyprus,0
Germany,Czechia,1170347
Germany,Czechia,704
Germany,Democratic Republic of the Congo,8380
Germany,Denmark,222870
Germany,Denmark,30226
Germany,Eritrea,50058
Germany,Estonia,34772
Germany,Estonia,5
Germany,Finland,62121
Germany,Finland,7
Germany,France,744756
Germany,France,234537
Germany,Georgia,15
Germany,Ghana,0
Germany,Greece,2801
Germany,Greece,3632
Germany,Hungary,90883
Germany,Hungary,8202
Germany,Iceland,12303
Germany,India,0
Germany,Iran (Islamic Republic of),0
Germany,Iran (Islamic Republic of),1
Germany,Ireland,11930
Germany,Israel,51551
Germany,Italy,45648
Germany,Italy,326876
Germany,Japan,90
Germany,Jordan,157201
Germany,Kazakhstan,1
Germany,Kuwait,1
Germany,Latvia,49685
Germany,Latvia,3508
Germany,Libya,24430
Germany,Lithuania,133850
Germany,Lithuania,373
Germany,Luxembourg,2584
Germany,Luxembourg,6823
Germany,Mongolia,0
Germany,Morocco,67712
Germany,Mozambique,47004
Germany,Netherlands,560221
Germany,Netherlands,1664087
Germany,New Zealand,0
Germany,Nigeria,29000
Germany,Norway,224936
Germany,Poland,639815
Germany,Poland,147652
Germany,Portugal,39321
Germany,Republic of Moldova,1
Germany,Romania,10535
Germany,Romania,1258
Germany,Russian Federation,4002
Germany,Russian Federation,192
Germany,Saudi Arabia,344499
Germany,Serbia,0
Germany,Slovakia,79400
Germany,Slovakia,488
Germany,Slovenia,404
Germany,South Africa,206147
Germany,Spain,5612
Germany,Spain,121415
Germany,Sudan (former),688540
Germany,Sweden,47405
Germany,Sweden,43735
Germany,Switzerland,57
Germany,Switzerland,185273
Germany,Syrian Arab Republic,0
Germany,Turkey,21
Germany,Turkey,145406
Germany,Uganda,48400
